Code;Name
04.11.03;Чипсы, сухарики
04.11.04;Сухой солод
04.11.05;Соль, сода
04.11.06;Мука, тесто
04.11.07;Мюсли
04.11.08;Каши, супы, бульоны
04.11.09;Крупы
04.11.10;Макароны
04.11.11;Крем, желатин, разрыхлитель
04.12.00;Еда быстрого приготовления
04.12.01;Супы быстрого приготовления
04.12.02;Японская еда
04.12.03;Китайская еда
04.12.04;Пицца
04.13.00;Хлебобулочные изделия
04.13.01;Булочки и пирожки
04.13.02;Хлеб 
04.14.00;Диетическое и лечебное питание
04.14.01;Соусы, специи, приправы
04.14.02;Чай, кофе, напитки
04.14.03;Зерновые хлебцы
04.14.04;Бакалея
04.14.05;Продукты на основе сои
04.14.06;Заменители сахара
04.15.00;Детское питание
05.00.00;Все для офиса
05.01.00;Оргтехника
05.01.01;Калькуляторы
05.01.02;Брошюровщики
05.01.03;Ламинаторы
05.01.04;Резаки
05.01.05;Факсы
05.01.06;Системные телефоны
05.01.07;Мини АТС
05.01.08;Оборудование для АТС
05.01.09;Аксессуары для пишущих машинок
05.01.10;Машинки для уничтожения бумаг
05.01.11;Копиры и дупликаторы
05.02.00;Расходные материалы
05.02.01;Расходные материалы для ламинаторов
05.02.02;Бумага и пленка
05.02.03;Расходные материалы для брошюровщиков
05.02.04;Скотч
05.02.05;Скрепки, кнопки
05.03.00;Аксессуары
05.04.00;Оборудование для презентаций
05.04.01;Мобильные стенды
05.04.02;Доски
05.04.03;Экраны
05.04.04;Документ-камеры
05.04.05;Оверхед-проекторы
05.04.06;Мультимедиа-проекторы
05.04.07;Аксессуары для проекторов
05.04.08;Слайд-проекторы
05.05.00;Канцелярские принадлежности
05.05.01;Аксессуары
05.05.02;Ножи канцелярские
05.05.03;Органайзеры
05.05.04;Офисные наборы
05.05.05;Ежедневники, записные книжки
05.05.06;Печати и штампы
05.05.07;Бухгалтерские книги, бланки, формы
05.05.08;Папки, файлы, конверты
05.05.09;Дыроколы, степлеры
06.00.00;Авто
06.01.00;Автохимия
06.01.01;Антикоры
06.01.02;Масло трансмиссионное
06.01.03;Смазки
06.01.04;Моторные масла
06.01.05;Присадки в топливо
06.01.06;Герметики
06.01.07;Антифризы
06.01.08;Присадки в масло
06.01.09;Тормозные жидкости
06.01.10;Промывки и промывочное масло
06.01.11;Жидкости для ГУР
06.02.00;Запчасти
06.02.01;Воздушные фильтры
06.02.02;Омыватель
06.02.03;Тросы
06.02.04;Топливные фильтры
06.02.05;Система выпуска
06.02.06;Подвеска
06.02.07;Стекла
06.02.08;Трансмиссия
06.02.09;Двигатель
06.02.10;Аккумуляторные батареи
06.02.11;Рулевое управление
06.02.12;Кузов
06.02.13;Салон
06.02.14;Электрика
06.02.15;Топливная система
06.02.16;Масляные фильтры
06.02.17;Привод
06.02.18;Тормозная система
06.02.19;Фаркопы 
06.02.20;Автосвет
06.02.21;Зарядные устройства для аккумуляторов
06.03.00;Противоугонные устройства
06.03.01;Противоугонные комплексы
06.03.02;Механические блокираторы
06.03.03;Автопейджеры
06.03.04;Автосигнализации
06.03.05;Иммобилайзеры
06.04.00;Аксессуары
06.04.01;Сигналы
06.04.02;Щетки и скребки
06.04.03;Освежители воздуха
06.04.04;Багажники, боксы, крепления
06.04.05;Наклейки
06.04.06;Переходные рамки
06.04.07;Тенты для автомобиля
06.04.08;Автомобильные насосы
06.04.09;Автоаптечки
06.04.10;Чехлы на сидения
06.04.11;Зеркала заднего вида
06.04.12;Коврики
06.04.13;Стеклоочистители
06.04.14;Цепи противоскольжения
06.04.15;Инструменты
06.04.16;Тюнинг-комплекты
06.04.17;Внешний декор
06.04.18;Ручки КПП
06.04.19;Рули
06.04.20;Автомобильные холодильники
06.04.21;Защита
06.05.00;Автокосметика
06.05.01;Полироли
06.05.02;Шпатлевка
06.05.03;Автоэмали
06.05.04;Грунтовка
06.05.05;Автошампуни
06.05.06;Очистители
06.06.00;Шины и диски
06.06.01;Грузовые шины
06.06.02;Шины
06.06.03;Мотошины
06.06.04;Колесные диски
06.07.00;Транспорт
06.07.01;Прицепы
06.07.02;Грузовые машины
06.07.03;Спецтехника
06.08.00;Электроника
06.08.01;Автомобильные радиостанции
06.08.02;Бортовые компьютеры
06.08.03;Камеры заднего вида
06.08.04;Аудио- и видеотехника
06.08.05;Устройства громкой связи
06.08.06;Радар-детекторы
06.08.07;Парктроники
06.08.08;Универсальные зарядные устройства и инверторы
06.08.09;Видеорегистраторы
06.09.00;Мототехника
06.09.01;Квадроциклы
06.09.02;Экипировка и защита
06.09.03;Скутеры
06.09.04;Запчасти
06.09.05;Аксессуары
06.09.06;Мотоциклы
06.09.07;Снегоходы
07.00.00;Спорт и отдых
07.01.00;Рюкзаки
